MIR4640///DDR1,10.4957,10.9841
RFC2,7.03498,5.42688
HSPA6,5.51883,5.26556
PAX8,8.30014,8.42475
GUCA1A,3.89054,3.66632
MIR5193///UBA7,6.89203,8.74796
THRA,6.89596,6.94424
PTPN21,4.70915,4.87375
CCL5,6.20474,8.37451
CYP2E1,3.5359,3.57845
EPHB3,7.82771,6.54714
ESRRA,9.39201,9.48707
CYP2A6,6.27355,6.01564
SCARB1,9.63073,9.44986
TTLL12,9.96263,9.7317
LOC101930489///LINC00152,4.45819,4.56857
WFDC2,4.70178,4.71771
MAPK1,6.8945,5.71272
MAPK1,6.33263,6.29749
ADAM32,4.96065,4.44422
SPATA17,3.66489,3.68743
PRR22,5.71997,6.08492
PRR22,5.75228,5.87173
PXK,5.13849,5.10415
PXK,5.31195,5.12277
VPS18,5.49329,5.49868
MSANTD3,6.94336,5.90675
SLC46A1,5.36717,5.79701
SLC46A1,7.15564,7.62975
TIMD4,4.03473,4.39085
SLC39A5,8.18998,9.51425
ZDHHC11B///ZDHHC11,4.87641,5.65131
ATP6V1E2,6.89196,5.83407
AFG3L1P,6.55722,7.87511
CILP2,4.10908,4.35663
CILP2,5.18758,5.15588
PIGX,7.93372,6.75425
TMEM196,4.89741,4.71276
SLC39A13,6.16117,6.0582
BEST4,4.78397,8.51818
AK9,4.95837,4.1368
CORO6,5.05436,5.51712
TMEM106A,3.88044,4.09422
TMEM106A,4.84669,5.16762
ALG10,4.49835,3.95758
ALG10,5.25857,3.94628
TTC39C,5.1404,4.65468
NEXN,3.8606,5.44217
C15orf40,7.43184,7.5926
RAX2,7.54411,7.85358
MFAP3,5.61167,4.76866
EYA3,4.22927,4.08285
GIMAP1,5.34749,5.96063
GIMAP1,4.35596,5.63831
GIMAP1,3.7515,4.03639
KLK8,4.26991,4.03261
CCDC65,3.24174,3.59137
CCDC65,3.48921,3.44236
FAM122C,3.31424,3.36496
FAM122C,4.49278,4.58082
CFAP53,3.09283,3.16804
CFAP53,4.76827,4.74385
ARMCX4,3.48232,4.19178
RBBP6,5.56756,4.58933
CENPBD1,4.02803,3.69619
TRIOBP,7.80658,8.00819
TRIOBP,4.57594,4.66211
CATSPER1,5.3789,5.43358
HOXD4,5.20478,4.68324
GSC,5.70981,5.39971
SP7,4.91991,4.75139
PDE7A,5.37991,5.60632
CNOT7,6.28292,4.32444
CRYZL1,6.12361,6.88839
PRSS33,6.07493,5.9143
PRSS33,5.12635,5.01212
CBARP,6.43101,6.09161
CBARP,5.555,5.55238
MCMDC2,3.38597,3.48735
TIRAP,5.33892,5.26079
LEAP2,6.30125,7.02818
MSI2,5.49861,4.60667
SCIN,7.4266,9.7953
SCIN,4.67966,6.80819
CTCFL,3.9139,4.29523
C4orf33,6.19035,6.04279
C4orf33,2.91455,3.35988
C4orf33,3.33819,3.46101
ZNF333,3.83253,3.85511
TVP23C,6.68045,6.92193
RDH10,4.90201,5.26296
RDH10,2.95766,3.2662
SRSF12,3.36032,3.90079
FAM71A,7.49921,7.65414
FAM71A,5.49857,5.98373
GAPT,3.69841,4.51701
FLJ30901///SCUBE1,6.3824,6.51486
ERICH5,3.50015,3.52479
ERICH5,4.55798,4.41519
CCDC185,4.15426,4.15188
ENTHD1,3.41841,3.44669
ENTHD1,3.4765,3.45679
TSSK3,7.89659,8.35275
WFDC6,4.58775,4.33105
CLEC12A,3.66213,3.84944
BRF1,3.62252,3.61126
TMEM266,4.05854,4.21091
GRIK1-AS2///BACH1,3.63694,3.66898
CALML6,3.96244,4.12228
NLRP5,4.77473,4.72485
ODF4,3.47713,3.56689
ODF4,6.61731,6.64484
CLEC4F,4.77595,4.82634
DEFB106B///DEFB106A,6.72,6.67826
DEFB106B///DEFB106A,3.60942,3.79002
WFDC9,4.14055,4.01034
WFDC9,4.61928,4.35836
NEDD1,4.81944,4.09873
TTLL10,5.19812,5.10015
TTLL10,7.29239,7.35899
CALR3,3.93969,3.67131
C10orf25,5.08883,5.46771
ETV3,5.77269,5.79701
KLHL10,3.90212,3.83508
KLHL10,4.91361,4.90515
TM2D3,10.2328,9.56081
ZNF485,4.76807,4.18019
WDR17,3.20511,3.18372
MFSD6L,5.59682,6.24462
LOC100653137///CDH23,5.73249,5.71239
ANKAR,3.69841,3.75984
MEGF11,3.30824,3.52531
GPR182,3.86602,3.94888
ESX1,3.96094,4.09422
FAM167A-AS1,4.06254,4.09707
SCGB1C2///SCGB1C1,4.16636,4.19574
DNAJC5G,5.6695,5.77096
WDR88,4.06272,3.71881
WDR88,3.57472,3.69365
PRUNE2,4.32817,4.68076
MBD3L2,4.61878,4.91765
ADAMTSL1,3.95089,3.92358
MBD3L1,3.91189,4.08841
MBD3L1,4.32438,4.26812
FAM46D,3.29434,2.98162
SERPINB11,3.72413,3.29894
LINC00161,3.26574,3.32968
DSCR10,6.86197,6.80088
DSCR10,4.60148,4.36884
ABHD11,3.58871,3.98878
ACAP2,7.20881,7.92703
GAMT,7.20881,7.2512
GAMT,7.15856,7.21644
PLCD3,6.92622,7.27878
IRF6,7.74631,7.10182
IRF6,4.20637,4.15496
PTPRC,3.13785,3.10799
MAN1A2,4.27209,4.71462
RAPH1,5.17114,5.33897
SMCR8,6.66087,6.61407
LACTB,4.54854,4.44368
LACTB,4.13317,3.97484
BNC1,3.31041,3.36198
MPP4,3.26666,3.24403
LACE1,4.01543,4.0253
IDI2,5.254,5.40146
CYP11B1,4.11633,4.04263
TAF8,4.5875,4.80522
COBL,5.07802,5.4641
SLAMF6,5.98356,6.50943
ZSCAN20,4.332,4.46207
ZSCAN20,4.52419,4.27229
GPBAR1,5.54837,5.75271
RHBDL2,4.03265,6.65831
FRAS1,5.10855,5.11852
BRSK1,5.73687,5.77825
CRB2,3.98723,4.18861
KCNE4,4.04833,3.92615
KCNE4,4.28002,4.37694
CD300LG,3.64874,3.91523
SLC34A3,8.17838,8.48212
CPA6,4.32795,4.43619
WBP2NL,3.40605,3.33718
HIPK1,4.21361,4.66438
HIPK1,4.31638,4.5216
MTBP,3.63295,3.43307
ACVR1C,7.49088,7.18423
TMEM74,3.88985,3.73199
TMEM74,3.15573,3.15128
TIGD4,3.33096,3.24597
TIGD4,4.12435,3.85121
ART5,6.62534,6.66148
FAM71C,4.37492,4.1198
LINC01547,6.75738,6.92606
NLRP11,3.5741,3.75784
ATP6V1C2,3.93953,3.92366
CLDN19,5.53723,5.15221
VTI1A,5.96859,6.26387
KIF6,4.00064,4.25008
IQCD,5.12703,5.32919
TAGAP,6.52795,7.1092
