MIR4640///DDR1,9.185,10.529,
RFC2,6.282,6.803,
HSPA6,6.508,6.514,
PAX8,8.945,8.898,
GUCA1A,3.974,4.007,
MIR5193///UBA7,8.272,7.508,
THRA,5.734,5.851,
PTPN21,5.328,4.861,
CCL5,7.658,6.92,
CYP2E1,4.059,4.133,
EPHB3,7.362,8.17,
ESRRA,7.799,7.723,
CYP2A6,6.97,6.783,
GAS6,10.951,10.202,
MMP14,8.509,8.771,
TRADD,8.01,8.153,
CHURC1-FNTB///FNTB,6.223,6.618,
PLD1,5.606,6.21,
DTX2P1-UPK3BP1-PMS2P11,9.67,9.491,
BAD,6.646,6.624,
PRPF8,9.378,9.37,
CAPNS1,11.032,10.849,
RPL35,11.639,12.175,
MIR6805///RPL28,12.39,12.369,
EIF4G2,10.593,10.796,
EIF3D,9.88,10.045,
PARK7,10.955,11.177,
SRP14,11.041,10.881,
GDI2,9.567,9.7,
GDI2,10.539,10.666,
RPL11,11.83,11.655,
ARF3,9.688,9.729,
RPL21P28///SNORA27///SNORD102///RPL21,12.204,12.088,
RPL24,11.701,11.877,
HNRNPC,9.083,9.05,
2-Sep,10.028,9.831,
HNRNPA1P10///HNRNPA1,11.667,11.608,
RPS27A,11.551,11.617,
LOC100508408///SNORD14B///RPS13,12.627,12.645,
FAU,12.297,12.111,
TARDBP,8.13,8.119,
CFL1,12.736,12.89,
RPL18,11.694,11.934,
EIF3F,10.478,10.59,
RPS5,12.167,12.522,
RPL27,12.518,12.609,
RPL34,12.696,12.533,
NARS,9.453,9.708,
STARD7,9.911,10.097,
RPL19,12.42,12.298,
SLC25A3,11.284,11.272,
SNORD35B///RPS11,12.796,12.583,
RPL9,12.737,12.687,
MIR5047///MIR3064///DDX5,10.867,10.52,
RPL6,11.256,11.182,
CTDNEP1,9.003,8.989,
RPL10A,11.491,11.658,
CBX3,7.978,8.484,
RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17,11.929,11.951,
PSMB2,9.278,10.01,
KHDRBS1,9.587,9.583,
ATP6V1G2-DDX39B///SNORD84///DDX39B,10.02,10.33,
RTCB,9.129,9.515,
ERH,10.138,10.726,
GATC///SRSF9,9.387,10.204,
ABCF1,8.603,9.087,
DAD1,9.368,9.447,
YY1,8.195,9.03,
JTB,10.052,10.166,
KAT7,7.977,8.291,
ZNF146,6.747,6.895,
SART1,7.491,7.536,
ILF2,8.27,8.981,
SPAG7,9.116,9.141,
ZPR1,6.949,7.292,
TAF10,9.898,9.955,
C1D,5.508,5.646,
NONO,10.515,10.626,
LOC101929240///SNRNP200,9,9.651,
RHOA,11.693,11.203,
RNPS1,9.039,9.496,
RPS24,12.961,12.842,
RPL30,12.899,12.92,
NPM1,10.658,10.334,
HSP90AB1,11.733,11.264,
MIR3620///ARF1,10.933,10.889,
IK,8.595,8.102,
SNX3,9.376,8.994,
CANX,11.033,10.598,
SART3,5.987,6.019,
CNPPD1,7.623,7.394,
SMNDC1,6.812,7.144,
HNRNPM,9.303,9.119,
HNRNPD,8.945,9.373,
RPL14,11.041,10.395,
GUK1,9.397,9.523,
KXD1,8.466,8.614,
OAZ1,12.373,12.444,
ATP6V0B,10.187,10.235,
KARS,9.295,9.506,
H3F3AP4///H3F3B///H3F3A,10.895,11.198,
RPS6,12.023,11.849,
RPS7,11.369,11.69,
USP22,8.59,8.392,
C11orf58,9.608,9.424,
TCEB2,10.175,10.345,
COX4I1,10.486,10.877,
TMED2,10.187,10.192,
NBEAL1///RPL12,12.783,12.717,
SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4,11.344,11.353,
FNTA,8.958,8.779,
RPS25,10.848,10.764,
RPL37,11.887,12.162,
HINT1,9.567,9.896,
EEF2,11.468,11.352,
RPS10,13.377,13.588,
ATP6V0E1,10.432,10.152,
HNRNPK,9.489,9.369,
ANAPC5,9.162,9.297,
SNORD73A///RPS3A,12.132,12.173,
HNRNPU,9.402,9.202,
HNRNPU,10.502,10.632,
EIF3A,8.128,7.649,
EIF3A,8.618,8.454,
EIF3A,6.419,5.696,
MIR3652///HSP90B1,8.751,8.793,
MIR3652///HSP90B1,9.652,9.756,
MSN,10.774,9.909,
ACTN4,9.417,9.325,
APP,7.633,7.555,
PRKAR1A,9.979,9.052,
PRKAR1A,9.6,8.477,
PRKAR1A,9.936,8.872,
DSP,7.474,11.227,
RAD21,7.84,7.97,
RAD21,7.135,7.615,
WDR1,10.587,10.426,
NCL,9.818,10.377,
WDR1,10.001,9.951,
AP2B1,8.542,8.478,
AP2M1,9.857,10.769,
CLTC,10.783,10.509,
AP2B1,7.938,7.643,
MLEC,7.576,8.026,
MLEC,8.722,8.228,
LASP1,9.807,9.725,
SF3B2,9.316,9.386,
TMEM59,10.501,10.312,
CSRP1,10.759,9.407,
CALM3///CALM2///CALM1,9.142,8.572,
CALM3///CALM2///CALM1,8.909,8.436,
SNHG4///MATR3,8.98,8.495,
CAP1,10.179,9.752,
SNHG4///MATR3,8.2,7.926,
PTGES3,10.113,10.344,
WARS,9.68,9.635,
WARS,10.386,9.964,
SETSIP///SET,10.436,10.96,
SETSIP///SET,9.963,10.214,
NDRG1,9.776,10.722,
UBB,13.009,12.745,
PFN1,11.383,11.461,
PTPRF,7.412,8.464,
PTPRF,8.369,9.567,
PTPRF,7.608,8.731,
YWHAZ,9.916,10.637,
YWHAZ,9.478,10.151,
YWHAZ,10.565,11.172,
YWHAZ,9.592,10.036,
SOD1,10.141,10.258,
HDLBP,9.238,9.687,
MARCKSL1,9.135,10.429,
GABARAP,11.173,10.919,
NUCB1,7.656,7.487,
EIF3CL///EIF3C,10.778,10.697,
GLUL,10.149,10.499,
NUCB1,9.667,9.155,
LDHA,10.997,12.016,
SNORD96A///SNORD95///RACK1,12.247,11.863,
SSR2,10.461,10.384,
CALM3///CALM2///CALM1,9.983,9.985,
P4HB,11.081,10.946,
CALM3///CALM2///CALM1,10.242,10.117,
P4HB,9.168,9.303,
SLC25A5,10.968,11.653,
PHB,7.011,7.51,
PHB,8.562,8.417,
S100A11,11.044,11.594,
CTSA,9.957,9.442,
TOMM20,8.611,8.182,
CD63,12.489,12.165,
DNAJB1,8.576,9.144,
SPARC,10.911,11.218,
DNAJB1,9.368,9.764,
UBE2D3,9.386,9.091,
UBE2D3,9.956,10.047,
UBE2D3,9.167,9.252,
XBP1,9.728,10.892,
SPTBN1,8.489,6.655,
SPTBN1,9.578,8.033,
LAPTM4A,11.184,11.039,
RPL32,13.354,13.003,
CD81,11.44,11.292,
UBE2L3,6.98,6.428,
PTTG1IP,10.734,10.359,
GRN,11.237,10.905,
HMGB1,9.686,9.738,
HMGB1,11.154,11.25,
GLO1,9.664,9.899,
UBE2L3,9.343,9.698,
UBE2L3,8.745,9.062,
UBE2L3,7.821,7.59,
SRSF11,4.131,3.757,
SRSF11,7.988,8.037,
SF3B3,8.117,8.651,
SF3B3,6.078,6.062,
MIR3654///EEF1G,12.667,12.784,
HSPA9,5.599,5.218,
HSPA9,8.505,8.563,
HSPA9,7.976,8.023,
YWHAQ,10.477,11.249,
DDX24,9.129,9.123,
PPP2R1A,9.129,9.335,
GSN,10.882,11.326,
HK1,9.943,10.527,
KDELR2,8.865,8.853,
KDELR2,9.281,8.629,
KDELR2,9.775,10.353,
NPC2,11.722,10.715,
DDX24,7.34,7.461,
DYNLL1,10.272,10.749,
LITAF,10.655,9.905,
SNORA41///EEF1B2,11.239,11.471,
LITAF,9.615,8.94,
PRKCSH,8.322,8.208,
GOT2,8.86,9.486,
LOC101929368///FKBP1A,10.259,10.053,
ACADVL,8.951,8.401,
SKP1,9.281,8.631,
MAPRE1,7.614,7.781,
MAPRE1,9.821,9.866,
OS9,10.129,9.901,
SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A,11.996,11.853,
RPL13AP5///SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A,13.395,13.292,
RPL7,12.79,12.692,
SKP1,10.701,10.45,
